,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m
AALR3,ON NM,ALLIAR ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,21.49,2023-02-10,15.73,21.66,10209400,2542120000,3204450000,2022-09-30,118293000,-1876,237,8459,233,097,-3099,-249,0.0%,2190,10663,1.2%,-115,907,30.5%,2.8%,-11.8%,1.1%,1.3%,-12.6%,086,085,042,2631220000,,,1072550000,,,-135492000,,,-75123000,247829000,508798000,910160000,662331000,1092130000,30052000,280755000,-5522000
ABCB4,PN N2,ABC Brasil PN N2,Intermediários Financeiros,Bancos,18.27,2023-02-10,14.34,22.30,16717200,4130670000,-,2022-12-31,226090000,516,079,-,-,-,-,-,7.6%,-,-,27.5%,354,2302,-,-,0.0%,0.0%,-,15.4%,-,-,-,56768500000,0,0,5205390000,1457840000,367979000,800234000,344592000,90254000,197272000,,,,,,,,
ABEV3,ON,AMBEV S/A ON,Bebidas,Cervejas e Refrigerantes,12.86,2023-02-10,12.48,16.03,520280000,202548000000,186468000000,2022-09-30,15750200000,1546,225,1317,256,143,3080,-2262,5.9%,899,1212,13.0%,083,573,49.5%,19.5%,17.2%,10.8%,15.0%,14.5%,119,003,056,142064000000,,,90178000000,,,13098300000,,,3108560000,19059900000,41557000000,2980480000,-16079400000,79026600000,15384100000,20587600000,3728450000
AERI3,ON NM,AERIS ON NM,Máquinas e Equipamentos,Máq. e Equip. Industriais,1.17,2023-02-10,0.88,6.26,10852600,896470000,1651480000,2022-12-31,766213000,-967,101,472,036,024,071,-306,1.8%,679,870,5.7%,-012,115,11.9%,7.7%,-3.8%,5.0%,8.0%,-10.5%,195,205,065,3774960000,,,884868000,,,-92709000,,,-39425000,1061720000,2597560000,1816730000,755008000,2468880000,189736000,654772000,73853000
AESB3,ON NM,AES BRASIL ON NM,Energia Elétrica,Energia Elétrica,9.88,2023-02-10,9.08,12.27,22995100,5947040000,10385200000,2022-09-30,601927000,-146119,142,1167,211,039,201,-106,0.9%,1032,2038,130.2%,-001,694,25.0%,18.1%,5.4%,3.4%,4.5%,-0.1%,363,189,019,15104700000,,,4175170000,,,-4070010,,,40501000,3455380000,4091870000,7893510000,4438120000,2816160000,509586000,786558000,170934000
AFLT3,ON,AFLUENTE T ON,Energia Elétrica,Energia Elétrica,9.21,2023-02-10,8.28,10.50,3973,581013000,550084000,2022-09-30,63085000,485,214,471,377,185,1037,1602,2.6%,445,446,41.4%,190,430,82.7%,80.1%,77.7%,39.2%,44.1%,44.1%,340,000,049,314644000,,,271493000,,,119734000,,,10001000,31318000,79408000,389000,-30929000,154006000,123404000,18466000,10122000
AGRO3,ON NM,BRASILAGRO ON NM,Agropecuária,Agricultura,27.01,2023-02-10,20.04,31.53,11835500,2765200000,3328330000,2022-12-31,102377000,2221,135,1584,217,082,435,-6585,19.5%,1294,1906,33.7%,122,2004,22.0%,13.7%,9.8%,5.2%,6.0%,6.1%,199,043,038,3368960000,,,2051180000,,,124483000,,,-12881000,320365000,1275790000,883494000,563129000,1271460000,174590000,171537000,-9184000
AGXY3,ON NM,AGROGALAXY ON NM,Agropecuária,Agricultura,9.42,2023-02-10,6.66,11.73,669472,1609170000,2761540000,2022-09-30,170825000,-2448,126,339,015,018,162,-533,1.8%,482,582,87.4%,-038,751,12.5%,4.4%,-0.6%,5.5%,11.3%,-5.1%,116,152,123,8705720000,,,1282050000,,,-65722000,,,24358000,795170000,7106210000,1947540000,1152370000,10704400000,474727000,3074310000,182096000
AHEB3,ON,PARQUE ANHEMBI ON,Viagens e Lazer,Produção de Eventos e Shows,20.00,2022-12-20,17.00,30.00,1358,170880000,171689000,2022-09-30,8544000,-516,-211,-1845,082,059,-17296,-058,0.0%,-6440,-1854,25.7%,-387,-947,30.9%,-4.4%,-15.9%,-3.2%,-3.5%,40.9%,099,-005,072,290088000,,,-80875000,,,-33104000,,,-14310000,3242000,74583000,4051000,809000,208324000,-9260000,37431000,-11642000
AHEB5,PNA,PARQUE ANHEMBI PNA,Viagens e Lazer,Produção de Eventos e Shows,22.00,2021-12-30,0.00,0.00,0,187968000,188777000,2022-09-30,8544000,-568,-232,-2030,090,065,-19025,-063,0.0%,-7081,-2039,25.7%,-387,-947,30.9%,-4.4%,-15.9%,-3.2%,-3.5%,40.9%,099,-005,072,290088000,,,-80875000,,,-33104000,,,-14310000,3242000,74583000,4051000,809000,208324000,-9260000,37431000,-11642000
AHEB6,PNB,PARQUE ANHEMBI PNB,Viagens e Lazer,Produção de Eventos e Shows,19.31,2022-12-16,19.31,41.20,44,164985000,165794000,2022-09-30,8544000,-498,-204,-1782,079,057,-16699,-056,0.0%,-6219,-1790,25.7%,-387,-947,30.9%,-4.4%,-15.9%,-3.2%,-3.5%,40.9%,099,-005,072,290088000,,,-80875000,,,-33104000,,,-14310000,3242000,74583000,4051000,809000,208324000,-9260000,37431000,-11642000
ALLD3,ON NM,ALLIED ON NM,Comércio,Eletrodomésticos,5.30,2023-02-10,5.30,14.79,232597,494069000,1025910000,2022-09-30,93220600,669,033,275,009,013,047,182,17.5%,404,571,-5.5%,079,1622,13.7%,3.3%,1.4%,4.8%,7.3%,4.9%,172,042,145,3737770000,,,1512190000,,,73836000,,,6207000,103301000,2497180000,635140000,531839000,5422440000,179665000,1127920000,44879000
ALPA3,ON N1,ALPARGATAS ON N1,"Tecidos, Vestuário e Calçados",Calçados,9.51,2023-02-10,9.51,24.78,105054,6495920000,7123650000,2022-12-31,683062000,5348,113,1197,155,076,285,629,0.0%,1009,1313,2.0%,018,843,46.1%,13.0%,2.6%,6.4%,7.5%,2.1%,252,022,049,8499680000,,,5758100000,,,121462000,,,-20809000,647517000,3773380000,1275250000,627734000,4181870000,542660000,1103380000,84279000
ALPA4,PN N1,ALPARGATAS PN N1,"Tecidos, Vestuário e Calçados",Calçados,9.58,2023-02-10,9.58,28.02,59805000,6543730000,7171470000,2022-12-31,683062000,5387,114,1206,156,077,287,633,0.0%,1016,1322,2.0%,018,843,46.1%,13.0%,2.6%,6.4%,7.5%,2.1%,252,022,049,8499680000,,,5758100000,,,121462000,,,-20809000,647517000,3773380000,1275250000,627734000,4181870000,542660000,1103380000,84279000
ALPK3,ON NM,ESTAPAR ON NM,Serviços Diversos,Serviços Diversos,1.50,2023-02-10,1.23,4.90,520142,321640000,1594760000,2022-09-30,214427000,-194,070,151,030,012,-085,-017,0.0%,359,750,42.9%,-077,214,29.8%,19.7%,-15.3%,8.2%,9.0%,-36.1%,044,303,041,2607600000,,,459504000,,,-165923000,,,-35101000,118342000,293216000,1391460000,1273120000,1077860000,212578000,295019000,29571000
ALSO3,ON,ALIANSCSONAE ON,Exploração de Imóveis,Exploração de Imóveis,17.47,2023-02-10,15.58,23.46,54861700,10350500000,7716570000,2022-09-30,592474000,3587,149,1808,955,084,434,-901,1.0%,1014,1348,31.6%,049,1169,70.9%,52.8%,32.1%,4.6%,5.9%,4.2%,398,-,009,12330100000,,,6924050000,,,288571000,,,93358000,2633950000,3185610000,0,-2633950000,1083690000,572391000,273045000,141217000
ALUP3,ON N2,ALUPAR ON N2,Energia Elétrica,Energia Elétrica,9.30,2023-02-10,7.90,10.30,180169,8175730000,16812000000,2022-09-30,879111000,864,114,252,193,030,250,-070,4.4%,496,519,27.3%,108,818,80.2%,76.6%,40.5%,11.8%,13.1%,13.2%,286,154,015,27384200000,,,7188600000,,,945987000,,,115676000,2424970000,5024300000,11061300000,8636300000,4229360000,3238400000,652659000,444878000
ALUP4,PN N2,ALUPAR PN N2,Energia Elétrica,Energia Elétrica,9.23,2023-02-10,7.77,9.75,158712,8114190000,16750500000,2022-09-30,879111000,858,113,251,192,030,249,-069,4.4%,495,517,27.3%,108,818,80.2%,76.6%,40.5%,11.8%,13.1%,13.2%,286,154,015,27384200000,,,7188600000,,,945987000,,,115676000,2424970000,5024300000,11061300000,8636300000,4229360000,3238400000,652659000,444878000
AMAR3,ON NM,LOJAS MARISA ON NM,Comércio,"Tecidos, Vestuário e Calçados",0.77,2023-02-10,0.77,3.48,11543600,263989000,1793260000,2022-09-30,342843000,-128,027,096,009,007,061,-027,0.0%,328,650,-1.5%,-060,284,43.5%,9.9%,-7.4%,7.7%,9.5%,-21.1%,136,176,078,3582990000,,,973981000,,,-205651000,,,-97462000,183281000,1643520000,1712560000,1529270000,2785150000,275921000,619302000,32585000
AMBP3,ON NM,AMBIPAR ON NM,Água e Saneamento,Água e Saneamento,22.02,2023-02-10,19.01,37.93,22380900,2486850000,5566590000,2022-09-30,112936000,2698,241,441,076,031,113,-083,1.4%,637,986,124.7%,082,915,21.9%,17.2%,4.2%,7.0%,10.3%,8.9%,237,528,041,8055200000,,,1033460000,,,92157000,,,9858000,2381430000,3795170000,5461170000,3079740000,3281180000,564360000,980028000,199913000
AMER3,ON,AMERICANAS ON,Comércio,Produtos Diversos,1.10,2023-02-10,0.71,35.86,287660000,992783000,13188800000,2022-09-30,902530000,2315,007,082,004,002,008,-010,0.0%,416,1092,47.0%,005,1629,30.7%,4.3%,0.2%,2.6%,3.6%,0.3%,224,141,059,47084100000,,,14705600000,,,42889000,,,-211551000,8594890000,22433400000,20790900000,12196000000,27993300000,1207570000,5434940000,100845000
ANIM3,ON NM,ANIMA ON NM,Diversos,Serviços Educacionais,4.10,2023-02-10,3.57,7.91,20517800,1655860000,5571520000,2022-09-30,403869000,-443,063,251,047,016,819,-031,0.0%,452,845,35.2%,-093,653,56.7%,18.6%,-8.8%,6.3%,7.2%,-14.2%,111,190,034,10419500000,,,2638050000,,,-374122000,,,-46725000,1104600000,2067690000,5020250000,3915660000,3550270000,659256000,905237000,117040000
APER3,ON,ALPER S.A. ON,Previdência e Seguros,Corretoras de Seguros,25.58,2023-02-10,23.67,39.13,965318,500396000,363208000,2022-09-30,19562000,2567,107,678,228,065,594,-622,0.2%,397,492,24.2%,100,2393,128.7%,33.6%,8.9%,9.6%,11.9%,4.2%,160,-,028,772422000,,,468023000,,,19490000,,,14442000,137188000,223972000,0,-137188000,219946000,73823000,68990000,3029000
APTI4,PN,ALIPERTI PN,Agropecuária,Agricultura,3500.00,2018-08-01,0.00,0.00,0,66500000,44973000,2022-09-30,19000,1098,027,1664,178,013,037,-120,0.0%,753,1125,4.5%,31863,1281230,101.6%,10.7%,14.6%,0.8%,0.9%,2.5%,673,020,007,507673000,,,243433000,,,6054000,,,2821000,69648000,209024000,48121000,-21527000,37342000,3996000,10286000,5318000
ARML3,ON NM,ARMAC ON NM,Diversos,Aluguel de carros,11.82,2023-02-10,9.42,20.36,4940730,4089910000,5117340000,2022-09-30,346016000,3310,359,1450,488,118,535,-360,3.4%,1280,1815,269.7%,036,329,46.0%,33.6%,14.7%,8.1%,12.1%,10.8%,279,166,024,3468780000,,,1139270000,,,123556000,,,38835000,859354000,1192040000,1886780000,1027430000,838938000,281983000,250597000,89642000
ARZZ3,ON NM,AREZZO CO ON NM,Comércio,"Tecidos, Vestuário e Calçados",77.42,2023-02-10,67.22,103.61,108160000,8530600000,8395960000,2022-09-30,110186000,2019,326,1763,212,192,1079,1814,2.4%,1352,1735,27.4%,384,2372,54.0%,12.1%,10.5%,10.9%,14.9%,16.2%,153,016,091,4436420000,,,2614130000,,,422615000,,,99194000,546122000,2291860000,411486000,-134636000,4015260000,483886000,1137990000,128274000
ASAI3,ON NM,ASSAI ON NM,Comércio e Distribuição,Alimentos,18.63,2023-02-10,12.06,21.11,179425000,25135000000,33060000000,2022-09-30,1349170000,1874,699,708,050,069,-2045,-122,0.9%,745,931,97.3%,099,266,16.4%,7.1%,2.7%,9.7%,15.5%,37.3%,091,338,138,36422000000,,,3595000000,,,1341000000,,,281000000,4210000000,12264000000,12135000000,7925000000,50122000000,3550000000,13832000000,981000000
ATMP3,ON,ATMASA ON,Serviços Diversos,Serviços Diversos,1.09,2023-02-10,1.01,2.90,22394,29113900,296288000,2022-09-30,26710000,-006,-011,-023,004,002,-004,-002,0.0%,-1337,-234,-10.4%,-1777,-1030,-0.8%,-15.5%,-58.0%,-7.9%,-10.2%,172.5%,035,-132,051,1603280000,,,-275079000,,,-474524000,,,-111356000,96955000,429439000,364129000,267174000,817833000,-126660000,151013000,-36785000
ATOM3,ON,ATOMPAR ON,Outros,Outros,2.25,2023-02-10,2.05,3.10,23638,53561200,30784200,2022-09-30,23805000,517,200,441,153,145,156,206,2.7%,248,253,74.2%,044,112,98.4%,34.7%,29.6%,32.9%,87.2%,38.7%,2063,-,095,36897000,,,26777000,,,10356000,,,1150000,22777000,36171000,0,-22777000,35031000,12151000,6364000,1141000
AVLL3,ON NM,ALPHAVILLE ON NM,Construção Civil,Incorporações,10.10,2023-02-02,5.18,32.87,36449,226400000,1088160000,2022-09-30,22415800,-052,-076,-290,092,013,-079,-016,0.0%,-1490,-1392,-15.2%,-1928,-1321,10.4%,-31.9%,-175.6%,-4.5%,-5.0%,146.0%,069,-334,014,1725870000,,,-296026000,,,-432157000,,,-113043000,127585000,633343000,989345000,861760000,245142000,-78175000,77124000,-17761000
AZEV3,ON,AZEVEDO & TRAVASSOS ON,Construção e Engenharia,Construção Pesada,1.72,2023-02-10,1.31,3.59,262977,132750000,163534000,2022-09-30,77180000,1147,107,-184,041,027,-413,-063,0.0%,-335,-226,85.6%,015,162,5.0%,-22.4%,3.6%,-14.6%,-16.2%,9.3%,083,038,065,495858000,,,124647000,,,11573000,,,-40888000,15994000,161260000,46778000,30784000,322678000,-72222000,110476000,-45365000
AZEV4,PN,AZEVEDO & TRAVASSOS PN,Construção e Engenharia,Construção Pesada,1.70,2023-02-10,1.21,2.91,717203,131206000,161990000,2022-09-30,77180000,1134,105,-182,041,026,-408,-062,0.0%,-332,-224,85.6%,015,162,5.0%,-22.4%,3.6%,-14.6%,-16.2%,9.3%,083,038,065,495858000,,,124647000,,,11573000,,,-40888000,15994000,161260000,46778000,30784000,322678000,-72222000,110476000,-45365000
AZUL4,PN,AZUL PN,Transporte,Transporte Aéreo,8.81,2023-02-10,8.81,29.29,136288000,3065920000,25836100000,2022-09-30,348004000,-138,-015,156,020,017,-032,-009,0.0%,648,1318,8.2%,-638,-5785,19.3%,12.9%,-14.6%,10.7%,12.8%,11.0%,035,-119,083,18318900000,,,-20130500000,,,-2220760000,,,-2014990000,1103990000,5129420000,23874200000,22770200000,15224400000,1960620000,4376810000,421829000
B3SA3,ON,B3 ON,Serviços Financeiros Diversos,Serviços Financeiros Diversos,11.80,2023-02-10,9.91,15.78,536046000,71968200000,67520100000,2022-09-30,6099000000,1668,352,1283,720,148,1012,-731,4.1%,1013,1204,23.9%,071,335,89.7%,56.1%,43.2%,11.5%,17.6%,21.1%,162,060,020,48771400000,,,20417500000,,,4313820000,,,1029100000,16748800000,18498400000,12300700000,-4448050000,9997400000,5610130000,2510570000,1413840000
BAHI3,ON,BAHEMA ON,Diversos,Serviços Educacionais,13.00,2023-02-10,9.11,16.00,51823,310670000,457916000,2022-09-30,23897700,-339,293,-1176,093,049,-200,-066,0.0%,-2797,-1733,76.7%,-384,444,37.6%,-7.9%,-28.7%,-4.1%,-4.3%,-86.4%,023,155,052,639562000,,,106101000,,,-91701000,,,-27106000,17030000,46446000,164276000,147246000,334204000,-26419000,90803000,-4369000
BALM3,ON,BAUMER ON,Equipamentos,Equipamentos,10.30,2023-02-07,9.93,16.58,351,100940000,81873000,2022-09-30,9800000,392,074,740,068,044,099,154,3.5%,467,600,5.3%,263,1390,57.1%,9.2%,17.3%,6.0%,7.6%,18.9%,293,014,065,226905000,,,136239000,,,25751000,,,3479000,38641000,155315000,19574000,-19067000,147736000,13642000,41211000,5887000
BALM4,PN,BAUMER PN,Equipamentos,Equipamentos,9.02,2023-02-10,9.02,12.63,1750,88396000,69329000,2022-09-30,9800000,343,065,648,060,039,086,135,4.0%,396,508,5.3%,263,1390,57.1%,9.2%,17.3%,6.0%,7.6%,18.9%,293,014,065,226905000,,,136239000,,,25751000,,,3479000,38641000,155315000,19574000,-19067000,147736000,13642000,41211000,5887000
BAUH4,PN,EXCELSIOR PN,Alimentos Processados,Carnes e Derivados,81.99,2023-02-07,70.50,84.99,3198,428152000,428055000,2022-09-30,5222000,4698,398,13829,234,259,9219,-6961,0.0%,5199,13826,1.4%,175,2062,21.0%,1.7%,5.0%,1.9%,2.4%,8.5%,110,014,111,165489000,,,107672000,,,9113000,,,1833000,15458000,51666000,15361000,-97000,183240000,3096000,47200000,973000
BAZA3,ON,BANCO DA AMAZONIA S.A. ON,Intermediários Financeiros,Bancos,63.20,2023-02-10,34.20,63.20,270278,3542870000,-,2022-09-30,56058000,311,073,-,-,-,-,-,5.7%,-,-,23.6%,2034,8709,-,-,0.0%,0.0%,-,23.4%,-,-,-,33975000000,0,0,4881810000,1019380000,1011610000,1140400000,304066000,251455000,387828000,,,,,,,,
BBAS3,ON,BANCO DO BRASIL S.A. ON,Intermediários Financeiros,Bancos,40.37,2023-02-10,29.98,43.39,585604000,115677000000,-,2022-09-30,2865420000,420,079,-,-,-,-,-,10.3%,-,-,16.1%,960,5135,-,-,0.0%,0.0%,-,18.7%,-,-,-,2187760000000,0,0,147129000000,45917400000,20235400000,27510500000,12789500000,5366350000,8043520000,,,,,,,,
BBDC3,ON N1,BANCO BRADESCO S.A. ON N1,Intermediários Financeiros,Bancos,11.59,2023-02-10,11.59,16.90,125310000,123532000000,-,2022-12-31,10658500000,596,080,-,-,-,-,-,7.9%,-,-,6.1%,195,1447,-,-,0.0%,0.0%,-,13.4%,-,-,-,1503520000000,0,0,154263000000,26104400000,21432700000,20732200000,1311440000,5372930000,1436770000,,,,,,,,
BBDC4,PN N1,BANCO BRADESCO S.A. PN N1,Intermediários Financeiros,Bancos,12.67,2023-02-10,12.67,20.62,912490000,135043000000,-,2022-12-31,10658500000,651,088,-,-,-,-,-,7.9%,-,-,6.1%,195,1447,-,-,0.0%,0.0%,-,13.4%,-,-,-,1503520000000,0,0,154263000000,26104400000,21432700000,20732200000,1311440000,5372930000,1436770000,,,,,,,,
BBSE3,ON NM,BBSEGURIDADE ON NM,Previdência e Seguros,Seguradoras,35.95,2023-02-10,21.13,37.90,205968000,71900000000,-,2022-12-31,2000000000,1190,947,1020,-,446,-,-,2.9%,-,-,-,302,380,-,-,0.0%,43.7%,-,79.6%,-,-,-,16129800000,,,7596100000,,,6044570000,,,1806590000,0,0,0,0,0,7045670000,0,2111370000
BDLL3,ON,BAEDELLA ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,11.40,2023-01-23,9.90,13.19,291,18240000,239827000,2022-09-30,1600000,331,-010,-058,073,003,-026,-004,0.0%,-860,-763,-33.6%,344,-11334,-49.2%,-125.1%,21.9%,-4.7%,-5.0%,-3.0%,084,-123,004,662571000,,,-181341000,,,5505000,,,16218000,815000,362275000,222402000,221587000,25117000,-31427000,3672000,-9585000
BDLL4,PN,BAEDELLA PN,Máquinas e Equipamentos,Máq. e Equip. Industriais,8.00,2023-02-09,7.55,10.00,3322,12800000,234387000,2022-09-30,1600000,233,-007,-041,051,002,-018,-003,0.0%,-841,-746,-33.6%,344,-11334,-49.2%,-125.1%,21.9%,-4.7%,-5.0%,-3.0%,084,-123,004,662571000,,,-181341000,,,5505000,,,16218000,815000,362275000,222402000,221587000,25117000,-31427000,3672000,-9585000
BEEF3,ON NM,Minerva ON NM,Alimentos Processados,Carnes e Derivados,13.19,2023-02-10,9.19,16.06,94864900,8010060000,14488100000,2022-09-30,607283000,964,1288,317,025,038,134,-130,4.3%,495,574,19.9%,137,102,18.3%,8.0%,2.6%,11.8%,26.3%,133.6%,170,2322,148,21332800000,,,621997000,,,831037000,,,141484000,7966150000,14474500000,14444100000,6478000000,31644500000,2526010000,8437670000,711010000
BEES3,ON,BANESTES S/A ON,Intermediários Financeiros,Bancos,6.13,2023-02-10,4.42,6.29,187360,1936550000,-,2022-09-30,315913000,578,096,-,-,-,-,-,9.6%,-,-,7.8%,106,636,-,-,0.0%,0.0%,-,16.7%,-,-,-,38869600000,0,0,2009400000,1002150000,328623000,335003000,248130000,82513000,76501000,,,,,,,,
BEES4,PN,BANESTES S/A PN,Intermediários Financeiros,Bancos,7.15,2023-02-10,4.69,7.21,38280,2258780000,-,2022-09-30,315913000,674,112,-,-,-,-,-,8.2%,-,-,7.8%,106,636,-,-,0.0%,0.0%,-,16.7%,-,-,-,38869600000,0,0,2009400000,1002150000,328623000,335003000,248130000,82513000,76501000,,,,,,,,
BGIP3,ON,BANESE ON,Intermediários Financeiros,Bancos,26.40,2022-12-13,26.40,31.00,60,403524000,-,2022-09-30,15285000,1313,069,-,-,-,-,-,3.8%,-,-,0.1%,201,3810,-,-,0.0%,0.0%,-,5.3%,-,-,-,8055550000,3140310000,6802520000,582335000,370348000,126036000,30722000,97235000,32523000,3047000,,,,,,,,
BGIP4,PN,BANESE PN,Intermediários Financeiros,Bancos,17.65,2023-02-07,16.95,25.97,4999,269780000,-,2022-09-30,15285000,878,046,-,-,-,-,-,6.2%,-,-,0.1%,201,3810,-,-,0.0%,0.0%,-,5.3%,-,-,-,8055550000,3140310000,6802520000,582335000,370348000,126036000,30722000,97235000,32523000,3047000,,,,,,,,
BIDI3,ON N2,BANCO INTER ON N2,Intermediários Financeiros,Bancos,3.40,2022-06-17,3.20,9.43,0,8818230000,-,2022-06-30,2593600000,22551,106,-,-,-,-,-,0.4%,-,-,37.0%,002,322,-,-,0.0%,0.0%,-,0.5%,-,-,-,40558400000,11694300000,19781600000,8348550000,997741000,581016000,39104000,298009000,170216000,11997000,,,,,,,,
BIDI4,PN N2,BANCO INTER PN N2,Intermediários Financeiros,Bancos,3.41,2022-06-17,3.22,9.32,0,8844170000,-,2022-06-30,2593600000,22617,106,-,-,-,-,-,0.4%,-,-,37.0%,002,322,-,-,0.0%,0.0%,-,0.5%,-,-,-,40558400000,11694300000,19781600000,8348550000,997741000,581016000,39104000,298009000,170216000,11997000,,,,,,,,
BIOM3,ON,BIOMM SA ON,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,5.36,2023-02-10,5.36,14.34,67661,435704000,549823000,2022-09-30,81288000,-432,359,-532,430,124,886,-426,0.0%,-677,-671,255.3%,-124,149,15.9%,-80.8%,-99.4%,-23.2%,-29.6%,-83.1%,162,139,029,352652000,,,121364000,,,-100843000,,,-25136000,54493000,129050000,168612000,114119000,101420000,-81913000,30741000,-18312000
BLAU3,ON NM,BLAU ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,28.41,2023-02-10,21.52,33.97,6160730,5096580000,4649200000,2022-09-30,179394000,1625,290,1203,367,209,395,495,3.0%,1041,1097,13.5%,175,981,46.9%,30.5%,22.4%,17.4%,28.1%,17.8%,407,018,057,2440590000,,,1759860000,,,313559000,,,94526000,763533000,1713230000,316155000,-447378000,1390110000,423661000,361633000,113896000
BLUT3,ON,B TECH EQI ON,Outros,Outros,5.14,2022-09-20,3.72,8.88,3092,26229400,32977400,2021-12-31,5103000,-563,046,-4293,-,014,-076,-020,0.0%,-5397,-5397,-,-091,1109,-,-,0.0%,-0.3%,-0.3%,-8.2%,000,012,-,189948000,,,56569000,,,-4662000,,,-685000,0,66000,6748000,6748000,0,-611000,0,1032000
BLUT4,PN,B TECH EQI PN,Outros,Outros,1.52,2022-09-20,1.52,4.00,10453,7756560,14504600,2021-12-31,5103000,-166,014,-1269,-,004,-022,-006,0.0%,-2374,-2374,-,-091,1109,-,-,0.0%,-0.3%,-0.3%,-8.2%,000,012,-,189948000,,,56569000,,,-4662000,,,-685000,0,66000,6748000,6748000,0,-611000,0,1032000
BMEB3,ON,BANCO MERCANTIL DO BRASIL S/A ON,Intermediários Financeiros,Bancos,10.52,2023-02-10,9.63,18.01,5990,1102830000,-,2022-09-30,104832000,615,090,-,-,-,-,-,5.0%,-,-,16.3%,171,1171,-,-,0.0%,0.0%,-,14.6%,-,-,-,14400100000,0,0,1227450000,1903110000,278565000,179220000,488932000,76313000,40100000,,,,,,,,
BMEB4,PN,BANCO MERCANTIL DO BRASIL S/A PN,Intermediários Financeiros,Bancos,10.06,2023-02-10,9.64,11.36,77749,1054610000,-,2022-09-30,104832000,588,086,-,-,-,-,-,5.7%,-,-,16.3%,171,1171,-,-,0.0%,0.0%,-,14.6%,-,-,-,14400100000,0,0,1227450000,1903110000,278565000,179220000,488932000,76313000,40100000,,,,,,,,
BMGB4,PN N1,BANCO BMG PN N1,Intermediários Financeiros,Bancos,2.03,2023-02-10,1.88,2.78,3212210,1183960000,-,2022-09-30,583232000,587,031,-,-,-,-,-,18.0%,-,-,-10.2%,035,658,-,-,0.0%,0.0%,-,5.3%,-,-,-,45790500000,18109500000,25771300000,3839060000,1643870000,112224000,201616000,364871000,40059000,53445000,,,,,,,,
BMIN3,ON,BANCO MERCANTIL DE INVESTIMENTOS SA ON,Intermediários Financeiros,Bancos,18.50,2023-02-09,18.50,23.00,601,89262500,-,2022-09-30,4825000,1348,067,-,-,-,-,-,0.0%,-,-,15.3%,137,2779,-,-,0.0%,0.0%,-,4.9%,-,-,-,272689000,0,0,134104000,21783000,4500000,6623000,5834000,475000,1738000,,,,,,,,
BMIN4,PN,BANCO MERCANTIL DE INVESTIMENTOS SA PN,Intermediários Financeiros,Bancos,13.00,2023-01-31,12.25,18.35,1083,62725000,-,2022-09-30,4825000,947,047,-,-,-,-,-,6.5%,-,-,15.3%,137,2779,-,-,0.0%,0.0%,-,4.9%,-,-,-,272689000,0,0,134104000,21783000,4500000,6623000,5834000,475000,1738000,,,,,,,,
BMKS3,ON,MONARK ON,Viagens e Lazer,Bicicletas,375.00,2023-02-10,203.98,382.78,11381,170531000,7044240,2022-09-30,454750,749,083,-4318,951,074,097,108,4.8%,-200,-178,8.4%,5006,45322,27.0%,-22.0%,127.0%,-1.7%,-6.3%,11.0%,3602,001,008,228968000,,,206103000,,,22766000,,,8919000,164670000,181142000,1183000,-163487000,17930000,-3949000,5935000,-951000
BMOB3,ON NM,BEMOBI TECH ON NM,Programas e Serviços,Programas e Serviços,14.50,2023-02-10,10.83,17.44,5552870,1318180000,771709000,2022-09-30,90909100,1509,124,1324,093,094,209,235,1.4%,476,775,374.3%,096,1170,21.7%,7.0%,6.2%,7.1%,13.7%,8.2%,342,-,102,1394980000,,,1063710000,,,87366000,,,37055000,546473000,891781000,0,-546473000,1417910000,99553000,374937000,25104000
BNBR3,ON,BANCO DO NORDESTE ON,Intermediários Financeiros,Bancos,78.00,2023-02-09,65.68,81.85,4077,6736940000,-,2022-09-30,86371000,338,078,-,-,-,-,-,5.7%,-,-,19.6%,2308,9945,-,-,0.0%,0.0%,-,23.2%,-,-,-,63769100000,0,0,8589190000,3540460000,3000260000,1993050000,827156000,775326000,575106000,,,,,,,,
